query_id,corpus_id
qd4982518,dd4c4f7aa
qd4982518,dd4bf84f0
qd4982518,dd4b88920
qd4982518,dd4bb016e
qd4982518,dd4b9f7f6
qd4982518,dd4bb5506
qd4982518,dd4bec0ec
qd4982518,dd4bbdb16
qd4982518,dd4b87d18
qd4982518,dd4be45d6
qd49795a8,dd4979602
qd49795a8,dd4befb5c
qd49795a8,dd4c05bc8
qd49795a8,dd497d504
qd49795a8,dd4bd7b9c
qd49795a8,dd4c4b0a6
qd49795a8,dd4c4cf78
qd49795a8,dd4c3cc86
qd49795a8,dd4b9e8ce
qd49795a8,dd4bca6ea
qd496f724,dd4c648e4
qd496f724,dd496f77e
qd496f724,dd4ba9f94
qd496f724,dd4b9a08a
qd496f724,dd4c544d0
qd496f724,dd4ba4e36
qd496f724,dd4b94ff4
qd496f724,dd4b9306e
qd496f724,dd4bac14a
qd496f724,dd4bd2732
qd496f102,dd4c043ae
qd496f102,dd4bde26c
qd496f102,dd496f152
qd496f102,dd4b985b4
qd496f102,dd4ba111e
qd496f102,dd4ba508e
qd496f102,dd4c2f676
qd496f102,dd4bc9542
qd496f102,dd4972226
qd496f102,dd4b94608
qd496f918,dd496f968
qd496f918,dd4bbbab4
qd496f918,dd4c229ee
qd496f918,dd4baf534
qd496f918,dd4ba898c
qd496f918,dd4ba0908
qd496f918,dd4c60bae
qd496f918,dd4ba5c0a
qd496f918,dd4c00844
qd496f918,dd4c580b2
qd49859fc,dd4c43efa
qd49859fc,dd4b9d19a
qd49859fc,dd4be9d60
qd49859fc,dd4b8ef96
qd49859fc,dd4c109d8
qd49859fc,dd4b9fe5e
qd49859fc,dd4c4ca28
qd49859fc,dd49707dc
qd49859fc,dd4c0eb56
qd49859fc,dd4c3b2b4
qd4981d2a,dd497f5e8
qd4981d2a,dd4bdca34
qd4981d2a,dd496ed24
qd4981d2a,dd4c1e9ca
qd4981d2a,dd4c64272
qd4981d2a,dd4c29a96
qd4981d2a,dd4bde4e2
qd4981d2a,dd4be5b20
qd4981d2a,dd4b905bc
qd4981d2a,dd4b9704c
qd497d4aa,dd4befb5c
qd497d4aa,dd4979602
qd497d4aa,dd4c05bc8
qd497d4aa,dd4b9e8ce
qd497d4aa,dd4bd7b9c
qd497d4aa,dd4c4b0a6
qd497d4aa,dd4c3cc86
qd497d4aa,dd497d504
qd497d4aa,dd4c1fa00
qd497d4aa,dd4c4cf78
qd497e0ee,dd497e134
qd497e0ee,dd4c5f498
qd497e0ee,dd4be409a
qd497e0ee,dd4bb7e1e
qd497e0ee,dd4c31dd6
qd497e0ee,dd4bce560
qd497e0ee,dd4bcce18
qd497e0ee,dd4bd4532
qd497e0ee,dd4bf6650
qd497e0ee,dd4be0184
qd49850c4,dd4c4bc68
qd49850c4,dd497a3f4
qd49850c4,dd4c41a88
qd49850c4,dd49763da
qd49850c4,dd4bd25ac
qd49850c4,dd4c52d60
qd49850c4,dd4c538a0
qd49850c4,dd4c46150
qd49850c4,dd4b88e70
qd49850c4,dd4b98866
qd4982d6a,dd4978b44
qd4982d6a,dd4bd4618
qd4982d6a,dd4b8b670
qd4982d6a,dd4bb6a78
qd4982d6a,dd4b99f4a
qd4982d6a,dd4c37f2e
qd4982d6a,dd4c4b376
qd4982d6a,dd4b9cec0
qd4982d6a,dd4be9c84
qd4982d6a,dd4bc15d6
qd498998a,dd4ba6a56
qd498998a,dd4be55f8
qd498998a,dd49899f8
qd498998a,dd4c13e26
qd498998a,dd4bafb7e
qd498998a,dd4c14416
qd498998a,dd4ba8b4e
qd498998a,dd497947c
qd498998a,dd4be4248
qd498998a,dd4bdbf80
qd4977906,dd4ba91e8
qd4977906,dd4ba3e6e
qd4977906,dd496d938
qd4977906,dd4b87a02
qd4977906,dd4b92f10
qd4977906,dd4b8ebcc
qd4977906,dd4be0b84
qd4977906,dd4b93d66
qd4977906,dd4b9a936
qd4977906,dd4bc8c64
qd498a6dc,dd497bae2
qd498a6dc,dd4c38834
qd498a6dc,dd4bdddee
qd498a6dc,dd4b9452c
qd498a6dc,dd4bdf86a
qd498a6dc,dd4ba1308
qd498a6dc,dd496e3c4
qd498a6dc,dd4c254aa
qd498a6dc,dd4981082
qd498a6dc,dd4c1f924
qd498f128,dd498682a
qd498f128,dd4b8edd4
qd498f128,dd49780b8
qd498f128,dd4bfabec
qd498f128,dd4b90e72
qd498f128,dd4ba9d28
qd498f128,dd4ba3d92
qd498f128,dd4bbe1b0
qd498f128,dd4bdf95a
qd498f128,dd4bb43c2
qd4973770,dd4c5bc8a
qd4973770,dd49737c0
qd4973770,dd4bc2440
qd4973770,dd4c229ee
qd4973770,dd4ba81f8
qd4973770,dd498d03a
qd4973770,dd4baf534
qd4973770,dd496f968
qd4973770,dd4c580b2
qd4973770,dd4ba0908
qd498d6fc,dd497d298
qd498d6fc,dd496fd78
qd498d6fc,dd4c346bc
qd498d6fc,dd4c2423a
qd498d6fc,dd4c37dd0
qd498d6fc,dd4b8e64a
qd498d6fc,dd4ba3d92
qd498d6fc,dd4bb4da4
qd498d6fc,dd4b8e8f2
qd498d6fc,dd4ba122c
qd496d118,dd4bfd414
qd496d118,dd4c3af26
qd496d118,dd4bd5eb4
qd496d118,dd4baa548
qd496d118,dd4bb14b0
qd496d118,dd4bc0dd4
qd496d118,dd496d15e
qd496d118,dd4be27ae
qd496d118,dd4c06532
qd496d118,dd4bb8fa8
qd496f594,dd496f5c6
qd496f594,dd4bbe2a0
qd496f594,dd4bf1cfe
qd496f594,dd4c1e9ca
qd496f594,dd4c0119a
qd496f594,dd4c2596e
qd496f594,dd4c29884
qd496f594,dd4bae6b6
qd496f594,dd4b920e2
qd496f594,dd4bf6a7e
qd49825e0,dd4970e26
qd49825e0,dd4c1311a
qd49825e0,dd496ce98
qd49825e0,dd4c1d2be
qd49825e0,dd4ba3d92
qd49825e0,dd4c51988
qd49825e0,dd4c51fbe
qd49825e0,dd4bb1a6e
qd49825e0,dd4c32178
qd49825e0,dd4bb3648
qd497a3b8,dd4c4bc68
qd497a3b8,dd497a3f4
qd497a3b8,dd4c41a88
qd497a3b8,dd49763da
qd497a3b8,dd4bd25ac
qd497a3b8,dd4c46150
qd497a3b8,dd4bbc8f6
qd497a3b8,dd4bc2e5e
qd497a3b8,dd4ba5d86
qd497a3b8,dd4c5a20e
qd497c528,dd497c582
qd497c528,dd4b974d4
qd497c528,dd4c4e0f8
qd497c528,dd4bdb968
qd497c528,dd4bb293c
qd497c528,dd4b95602
qd497c528,dd4c2423a
qd497c528,dd4c4d43c
qd497c528,dd4b95a76
qd497c528,dd4c13c64
qd498f394,dd4bd25ac
qd498f394,dd4b9667e
qd498f394,dd4c4e62a
qd498f394,dd4c52d60
qd498f394,dd4c46150
qd498f394,dd4c4bc68
qd498f394,dd4baed28
qd498f394,dd4c5923c
qd498f394,dd497a3f4
qd498f394,dd4be0756
qd4980326,dd4ba2a5a
qd4980326,dd4c51c44
qd4980326,dd4beeb30
qd4980326,dd4b97e7a
qd4980326,dd4be1f98
qd4980326,dd4c5923c
qd4980326,dd4ba02f0
qd4980326,dd4c35bd4
qd4980326,dd4b9fe5e
qd4980326,dd4be2b32
qd498cc2a,dd497ad9a
qd498cc2a,dd4b94ed2
qd498cc2a,dd4bd73ea
qd498cc2a,dd4c66176
qd498cc2a,dd4b8c340
qd498cc2a,dd4c0781a
qd498cc2a,dd4bbe1b0
qd498cc2a,dd4b8a14e
qd498cc2a,dd4ba534a
qd498cc2a,dd497cdca
qd497b7e0,dd4ba96ca
qd497b7e0,dd496f2ec
qd497b7e0,dd4c544d0
qd497b7e0,dd4bce7a4
qd497b7e0,dd4b889f2
qd497b7e0,dd4c1201c
qd497b7e0,dd4c20c52
qd497b7e0,dd4b96bce
qd497b7e0,dd4bcf62c
qd497b7e0,dd4bdddee
qd498ed9a,dd4ba3d92
